method,target_rr,split,stage,call_kind,call_kind_name,refresh_count,opportunities,density,refresh_share
pma_nogate_oracle,0.3,test,early,1,corrector,2631.0,2880.0,0.9135416666666667,0.4646767926527729
pma_nogate_oracle,0.3,test,middle,0,predictor,5.0,3840.0,0.0013020833333333333,0.0008830801836806782
pma_nogate_oracle,0.3,test,middle,1,corrector,1484.0,3840.0,0.38645833333333335,0.2620981985164253
pma_nogate_oracle,0.3,test,late,0,predictor,200.0,2880.0,0.06944444444444445,0.03532320734722713
pma_nogate_oracle,0.3,test,late,1,corrector,730.0,2688.0,0.27157738095238093,0.12892970681737903
pma_nogate_oracle,0.3,all,early,0,predictor,814.0,3840.0,0.21197916666666666,0.10762924765304774
pma_nogate_oracle,0.3,all,early,1,corrector,3520.0,3840.0,0.9166666666666666,0.46542377363480103
pma_nogate_oracle,0.3,all,middle,0,predictor,7.0,5120.0,0.0013671875,0.0009255586407510248
pma_nogate_oracle,0.3,all,middle,1,corrector,1980.0,5120.0,0.38671875,0.2618008726695756
pma_nogate_oracle,0.3,all,late,0,predictor,268.0,3840.0,0.06979166666666667,0.0354356736744678
pma_nogate_oracle,0.3,all,late,1,corrector,974.0,3584.0,0.27176339285714285,0.12878487372735686
pma_nogate_oracle,0.4,calibration,early,0,predictor,218.0,960.0,0.22708333333333333,0.08602999210734018
pma_nogate_oracle,0.4,calibration,early,1,corrector,951.0,960.0,0.990625,0.3752959747434886
pma_nogate_oracle,0.4,calibration,middle,0,predictor,3.0,1280.0,0.00234375,0.0011838989739542227
pma_nogate_oracle,0.4,calibration,middle,1,corrector,826.0,1280.0,0.6453125,0.3259668508287293
pma_nogate_oracle,0.4,calibration,late,0,predictor,69.0,960.0,0.071875,0.02722967640094712
pma_nogate_oracle,0.4,calibration,late,1,corrector,467.0,896.0,0.5212053571428571,0.18429360694554064
pma_nogate_oracle,0.4,test,early,0,predictor,676.0,2880.0,0.23472222222222222,0.08921736835159035
pma_nogate_oracle,0.4,test,early,1,corrector,2857.0,2880.0,0.9920138888888889,0.3770621618054639
pma_nogate_oracle,0.4,test,middle,0,predictor,10.0,3840.0,0.0026041666666666665,0.0013197835554968984
pma_nogate_oracle,0.4,test,middle,1,corrector,2441.0,3840.0,0.6356770833333333,0.32215916589679294
pma_nogate_oracle,0.4,test,late,0,predictor,215.0,2880.0,0.07465277777777778,0.02837534644318332
pma_nogate_oracle,0.4,test,late,1,corrector,1378.0,2688.0,0.5126488095238095,0.18186617394747262
pma_nogate_oracle,0.4,all,early,0,predictor,894.0,3840.0,0.2328125,0.0884185540500445
pma_nogate_oracle,0.4,all,early,1,corrector,3808.0,3840.0,0.9916666666666667,0.37661952329146475
pma_nogate_oracle,0.4,all,middle,0,predictor,13.0,5120.0,0.0025390625,0.0012857284145979626
pma_nogate_oracle,0.4,all,middle,1,corrector,3267.0,5120.0,0.6380859375,0.32311344080704185
pma_nogate_oracle,0.4,all,late,0,predictor,284.0,3840.0,0.07395833333333333,0.028088220749678566
pma_nogate_oracle,0.4,all,late,1,corrector,1845.0,3584.0,0.5147879464285714,0.1824745326871724
pma_nogate_oracle,0.5,calibration,early,0,predictor,246.0,960.0,0.25625,0.07765151515151515
pma_nogate_oracle,0.5,calibration,early,1,corrector,960.0,960.0,1.0,0.30303030303030304
pma_nogate_oracle,0.5,calibration,middle,0,predictor,4.0,1280.0,0.003125,0.0012626262626262627
pma_nogate_oracle,0.5,calibration,middle,1,corrector,1130.0,1280.0,0.8828125,0.35669191919191917
pma_nogate_oracle,0.5,calibration,late,0,predictor,75.0,960.0,0.078125,0.023674242424242424
pma_nogate_oracle,0.5,calibration,late,1,corrector,753.0,896.0,0.8404017857142857,0.23768939393939395
pma_nogate_oracle,0.5,test,early,0,predictor,797.0,2880.0,0.2767361111111111,0.0834292892285146
pma_nogate_oracle,0.5,test,early,1,corrector,2880.0,2880.0,1.0,0.3014759761331519
pma_nogate_oracle,0.5,test,middle,0,predictor,14.0,3840.0,0.0036458333333333334,0.0014655082173139328
pma_nogate_oracle,0.5,test,middle,1,corrector,3360.0,3840.0,0.875,0.3517219721553439
pma_nogate_oracle,0.5,test,late,0,predictor,220.0,2880.0,0.0763888888888889,0.023029414843504657
pma_nogate_oracle,0.5,test,late,1,corrector,2282.0,2688.0,0.8489583333333334,0.23887783942217106
pma_nogate_oracle,0.5,all,early,0,predictor,1043.0,3840.0,0.2716145833333333,0.08199040955899693
pma_nogate_oracle,0.5,all,early,1,corrector,3840.0,3840.0,1.0,0.30186306108010375
pma_nogate_oracle,0.5,all,middle,0,predictor,18.0,5120.0,0.003515625,0.0014149830988129863
pma_nogate_oracle,0.5,all,middle,1,corrector,4490.0,5120.0,0.876953125,0.35295967298168385
pma_nogate_oracle,0.5,all,late,0,predictor,295.0,3840.0,0.07682291666666667,0.02319000078610172
pma_nogate_oracle,0.5,all,late,1,corrector,3035.0,3584.0,0.8468191964285714,0.23858187249430077
pma_stageaware_oracle,0.3,calibration,early,0,predictor,192.0,960.0,0.2,0.10099947396107312
pma_stageaware_oracle,0.3,calibration,early,1,corrector,768.0,960.0,0.8,0.40399789584429247
