window_id,stage,start_call,end_call,window_len,valid_count,mean_lpips,median_lpips,q90_lpips,q95_lpips,max_lpips,mean_dino,median_dino,q90_dino,q95_dino,max_dino,mean_psnr,q05_psnr,mean_ssim,q05_ssim,failure_rate_lpips_gt_0p001,failure_rate_lpips_gt_0p005,failure_rate_lpips_gt_0p01,failure_rate_lpips_gt_0p02,failure_rate_dino_gt_0p001,failure_rate_dino_gt_0p005,failure_rate_dino_gt_0p01,failure_rate_dino_gt_0p02,status
47,mid,50,61,12,8,0.003910212981281802,0.004475412890315056,0.005494662746787071,0.005584841687232256,0.005675020627677441,0.001643948256969452,0.001332104206085205,0.0034405648708343505,0.0035185247659683225,0.003596484661102295,47.22464179992676,43.79057064056396,0.9984598383307457,0.9976940810680389,1.0,0.375,0.0,0.0,0.5,0.0,0.0,0.0,borderline
48,mid,60,61,2,8,6.1982841543795075e-06,6.401766995622893e-06,1.0393628326710313e-05,1.1459171764727214e-05,1.2524715202744119e-05,2.4586915969848633e-06,1.5795230865478516e-06,4.7981739044189445e-06,6.362795829772947e-06,7.927417755126953e-06,76.12434482574463,71.99055519104004,0.9999975189566612,0.9999960869550705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe
49,mid,60,63,4,8,7.629790570717887e-05,7.665234443265945e-05,0.00012588657700689508,0.00013253229335532523,0.00013917800970375538,2.934783697128296e-05,2.1636486053466797e-05,5.716681480407714e-05,7.191598415374754e-05,8.666515350341797e-05,64.99013328552246,60.998874473571775,0.9999675527215004,0.999949935078621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe
50,mid,60,67,8,8,0.0008847444169077789,0.0008396505145356059,0.0014204707811586558,0.0014227206178475172,0.0014249704545363784,0.00031757354736328125,0.00023356080055236816,0.0006127417087554931,0.0007059305906295775,0.0007991194725036621,54.11605930328369,50.29200382232666,0.9995821118354797,0.9993707120418549,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe
51,mid,70,71,2,8,8.169070781605114e-06,7.588705329908407e-06,1.154056026280159e-05,1.3244335241324732e-05,1.4948110219847877e-05,2.592802047729492e-06,1.7285346984863281e-06,4.720687866210938e-06,5.012750625610351e-06,5.304813385009766e-06,75.22022819519043,71.5299129486084,0.9999958053231239,0.9999925851821899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe
52,mid,70,73,4,8,0.00010628187737893313,0.00010013286373578012,0.0001478145597502589,0.00016872316482476887,0.00018963176989927888,3.394484519958496e-05,2.473592758178711e-05,6.0218572616577146e-05,6.316006183624267e-05,6.61015510559082e-05,64.05391263961792,60.48072509765625,0.9999442994594574,0.9999004811048507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe
53,mid,70,77,8,8,0.001365290278044995,0.0012864956515841186,0.0018881441326811907,0.0021730292704887685,0.0024579144082963467,0.0004255250096321106,0.00029161572456359863,0.0008425235748291016,0.000863051414489746,0.0008835792541503906,53.062140464782715,49.59201793670654,0.9992851838469505,0.9987426459789276,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe
54,mid,70,81,12,8,0.005967912846244872,0.005502213258296251,0.008366762287914753,0.009724796097725627,0.011082829907536507,0.0018939301371574402,0.001318216323852539,0.0040027439594268795,0.004070189595222473,0.004137635231018066,46.825154304504395,43.346337127685544,0.99688820540905,0.9945573210716248,1.0,0.625,0.125,0.0,0.625,0.0,0.0,0.0,borderline
55,mid,80,81,2,8,1.8755784992663393e-05,1.848776446422562e-05,2.6732335390988735e-05,3.317767623229883e-05,3.9623017073608935e-05,6.161630153656006e-06,4.589557647705078e-06,1.3256072998046875e-05,1.3422966003417968e-05,1.3589859008789062e-05,73.14236354827881,69.717085647583,0.9999915733933449,0.9999851435422897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe
56,mid,80,83,4,8,0.0002458151320752222,0.00023803253134246916,0.00035061334492638704,0.0004305155714973806,0.0005104177980683744,7.96094536781311e-05,5.9098005294799805e-05,0.00017136931419372558,0.00017485320568084715,0.00017833709716796875,61.969046115875244,58.55874099731445,0.9998911842703819,0.9998096376657486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe
